filepath,label
data\processed\stop_sign\stop_sign_03cdc5c80ec3.png,stop_sign
data\processed\stop_sign\stop_sign_03cdc5c80ec3_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_03cdc5c80ec3_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_03cdc5c80ec3_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_1993d1a3639a.png,stop_sign
data\processed\stop_sign\stop_sign_1993d1a3639a_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_1993d1a3639a_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_1993d1a3639a_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_a7f0f483f754.png,stop_sign
data\processed\stop_sign\stop_sign_a7f0f483f754_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_a7f0f483f754_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_a7f0f483f754_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_d24f96038fea.png,stop_sign
data\processed\stop_sign\stop_sign_d24f96038fea_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_d24f96038fea_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_d24f96038fea_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_a066a42d8ad5.png,stop_sign
data\processed\stop_sign\stop_sign_a066a42d8ad5_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_a066a42d8ad5_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_a066a42d8ad5_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_e6474781c184.png,stop_sign
data\processed\stop_sign\stop_sign_e6474781c184_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_e6474781c184_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_e6474781c184_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_333c9d2bef2a.png,stop_sign
data\processed\stop_sign\stop_sign_333c9d2bef2a_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_333c9d2bef2a_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_333c9d2bef2a_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_9a82e3ef906a.png,stop_sign
data\processed\stop_sign\stop_sign_9a82e3ef906a_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_9a82e3ef906a_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_9a82e3ef906a_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_9bee42e347b1.png,stop_sign
data\processed\stop_sign\stop_sign_9bee42e347b1_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_9bee42e347b1_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_9bee42e347b1_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_1851d788c20b.png,stop_sign
data\processed\stop_sign\stop_sign_1851d788c20b_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_1851d788c20b_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_1851d788c20b_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_ebc874162115.png,stop_sign
data\processed\stop_sign\stop_sign_ebc874162115_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_ebc874162115_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_ebc874162115_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_1a99bebef5e1.png,stop_sign
data\processed\stop_sign\stop_sign_1a99bebef5e1_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_1a99bebef5e1_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_1a99bebef5e1_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_39c4c8811cfc.png,stop_sign
data\processed\stop_sign\stop_sign_39c4c8811cfc_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_39c4c8811cfc_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_39c4c8811cfc_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_da214949fcfa.png,stop_sign
data\processed\stop_sign\stop_sign_da214949fcfa_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_da214949fcfa_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_da214949fcfa_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_9b8e28e56a0b.png,stop_sign
data\processed\stop_sign\stop_sign_9b8e28e56a0b_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_9b8e28e56a0b_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_9b8e28e56a0b_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_2b00e181e628.png,stop_sign
data\processed\stop_sign\stop_sign_2b00e181e628_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_2b00e181e628_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_2b00e181e628_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_f9562abc1326.png,stop_sign
data\processed\stop_sign\stop_sign_f9562abc1326_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_f9562abc1326_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_f9562abc1326_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_57894e55cf15.png,stop_sign
data\processed\stop_sign\stop_sign_57894e55cf15_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_57894e55cf15_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_57894e55cf15_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_ebfd85594e55.png,stop_sign
data\processed\stop_sign\stop_sign_ebfd85594e55_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_ebfd85594e55_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_ebfd85594e55_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_fc03e283d6ce.png,stop_sign
data\processed\stop_sign\stop_sign_fc03e283d6ce_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_fc03e283d6ce_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_fc03e283d6ce_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_ffb3557ce828.png,stop_sign
data\processed\stop_sign\stop_sign_ffb3557ce828_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_ffb3557ce828_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_ffb3557ce828_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_1df82909eacf.png,stop_sign
data\processed\stop_sign\stop_sign_1df82909eacf_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_1df82909eacf_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_1df82909eacf_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_48d79ab5fe1c.png,stop_sign
data\processed\stop_sign\stop_sign_48d79ab5fe1c_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_48d79ab5fe1c_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_48d79ab5fe1c_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_236732e1e690.png,stop_sign
data\processed\stop_sign\stop_sign_236732e1e690_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_236732e1e690_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_236732e1e690_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_fb42a9711470.png,stop_sign
data\processed\stop_sign\stop_sign_fb42a9711470_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_fb42a9711470_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_fb42a9711470_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_8c6f21638c0e.png,stop_sign
data\processed\stop_sign\stop_sign_8c6f21638c0e_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_8c6f21638c0e_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_8c6f21638c0e_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_5247b8518869.png,stop_sign
data\processed\stop_sign\stop_sign_5247b8518869_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_5247b8518869_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_5247b8518869_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_27e42a24474b.png,stop_sign
data\processed\stop_sign\stop_sign_27e42a24474b_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_27e42a24474b_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_27e42a24474b_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_fc010903c1fb.png,stop_sign
data\processed\stop_sign\stop_sign_fc010903c1fb_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_fc010903c1fb_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_fc010903c1fb_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_53493c14b252.png,stop_sign
data\processed\stop_sign\stop_sign_53493c14b252_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_53493c14b252_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_53493c14b252_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_bf4ae9ea129b.png,stop_sign
data\processed\stop_sign\stop_sign_bf4ae9ea129b_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_bf4ae9ea129b_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_bf4ae9ea129b_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_40ae62eacc5a.png,stop_sign
data\processed\stop_sign\stop_sign_40ae62eacc5a_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_40ae62eacc5a_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_40ae62eacc5a_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_3d894c522230.png,stop_sign
data\processed\stop_sign\stop_sign_3d894c522230_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_3d894c522230_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_3d894c522230_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_5a7d06f6960e.png,stop_sign
data\processed\stop_sign\stop_sign_5a7d06f6960e_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_5a7d06f6960e_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_5a7d06f6960e_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_d148d2824293.png,stop_sign
data\processed\stop_sign\stop_sign_d148d2824293_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_d148d2824293_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_d148d2824293_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_4874bb8904fa.png,stop_sign
data\processed\stop_sign\stop_sign_4874bb8904fa_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_4874bb8904fa_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_4874bb8904fa_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_b67115e83642.png,stop_sign
data\processed\stop_sign\stop_sign_b67115e83642_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_b67115e83642_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_b67115e83642_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_e06bbd7597e9.png,stop_sign
data\processed\stop_sign\stop_sign_e06bbd7597e9_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_e06bbd7597e9_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_e06bbd7597e9_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_8d319598d2e0.png,stop_sign
data\processed\stop_sign\stop_sign_8d319598d2e0_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_8d319598d2e0_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_8d319598d2e0_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_55c336c9bcce.png,stop_sign
data\processed\stop_sign\stop_sign_55c336c9bcce_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_55c336c9bcce_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_55c336c9bcce_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_74b76db2233e.png,stop_sign
data\processed\stop_sign\stop_sign_74b76db2233e_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_74b76db2233e_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_74b76db2233e_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_c0f1561e4886.png,stop_sign
data\processed\stop_sign\stop_sign_c0f1561e4886_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_c0f1561e4886_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_c0f1561e4886_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_01804acec315.png,stop_sign
data\processed\stop_sign\stop_sign_01804acec315_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_01804acec315_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_01804acec315_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_a5339135e4d2.png,stop_sign
data\processed\stop_sign\stop_sign_a5339135e4d2_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_a5339135e4d2_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_a5339135e4d2_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_1add593d7db4.png,stop_sign
data\processed\stop_sign\stop_sign_1add593d7db4_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_1add593d7db4_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_1add593d7db4_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_5e6c4a39127f.png,stop_sign
data\processed\stop_sign\stop_sign_5e6c4a39127f_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_5e6c4a39127f_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_5e6c4a39127f_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_80dc07a55aef.png,stop_sign
data\processed\stop_sign\stop_sign_80dc07a55aef_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_80dc07a55aef_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_80dc07a55aef_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_cc76a7aff075.png,stop_sign
data\processed\stop_sign\stop_sign_cc76a7aff075_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_cc76a7aff075_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_cc76a7aff075_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_bd69cd16c15b.png,stop_sign
data\processed\stop_sign\stop_sign_bd69cd16c15b_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_bd69cd16c15b_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_bd69cd16c15b_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_e9825d69aa30.png,stop_sign
data\processed\stop_sign\stop_sign_e9825d69aa30_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_e9825d69aa30_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_e9825d69aa30_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_d35b2e6df5b6.png,stop_sign
data\processed\stop_sign\stop_sign_d35b2e6df5b6_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_d35b2e6df5b6_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_d35b2e6df5b6_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_3b0be926bb76.png,stop_sign
data\processed\stop_sign\stop_sign_3b0be926bb76_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_3b0be926bb76_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_3b0be926bb76_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_6dd35907b253.png,stop_sign
data\processed\stop_sign\stop_sign_6dd35907b253_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_6dd35907b253_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_6dd35907b253_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_3f6291b34e21.png,stop_sign
data\processed\stop_sign\stop_sign_3f6291b34e21_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_3f6291b34e21_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_3f6291b34e21_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_6be537721998.png,stop_sign
data\processed\stop_sign\stop_sign_6be537721998_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_6be537721998_aug2.png,stop_sign
data\processed\stop_sign\stop_sign_6be537721998_aug3.png,stop_sign
data\processed\stop_sign\stop_sign_b144100b8370.png,stop_sign
data\processed\stop_sign\stop_sign_b144100b8370_aug1.png,stop_sign
data\processed\stop_sign\stop_sign_b144100b8370_aug2.png,stop_sign
